Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Main Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
21101045759,Encuentros (Maracaibo),157,289,33,0.5,0.421,0.163,3304,Education,15,1363,1620,Rafael Maria Baralt National Experimental University,Rafael Maria Baralt National Experimental University,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045759,23436131,26108046
21101045761,Journal of Livestock Science and Technologies,52,62,34,0.8,0.26,0.216,3400,Veterinary (all),25,149,200,Shahid Bahonar University of Kerman,Shahid Bahonar University of Kerman,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045761,23223553,2322374X
21101045761,Journal of Livestock Science and Technologies,52,62,34,0.8,0.26,0.216,1103,Animal Science and Zoology,17,420,509,Shahid Bahonar University of Kerman,Shahid Bahonar University of Kerman,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045761,23223553,2322374X
21101045762,Critical Studies on Security,246,90,54,2.7,1.045,0.671,3320,Political Science and International Relations,74,187,738,Taylor and Francis Ltd.,Taylor & Francis,j,No,2,FALSE,https://www.scopus.com/sourceid/21101045762,21624887,21624909
21101045763,Journal of Media Literacy Education,343,117,62,2.9,1.082,0.542,3315,Communication,71,155,535,National Association for Media Literacy Education,National Association for Media Literacy Education,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045763,,21678715
21101045763,Journal of Media Literacy Education,343,117,62,2.9,1.082,0.542,3304,Education,62,609,1620,National Association for Media Literacy Education,National Association for Media Literacy Education,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045763,,21678715
21101045764,"European Studies: The Review of European Law, Economics and Politics",51,57,32,0.9,0.438,#N/A,3308,Law,45,607,1105,Palacky University Olomouc,Palacky University Olomouc,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045764,18058809,24646695
21101045764,"European Studies: The Review of European Law, Economics and Politics",51,57,32,0.9,0.438,#N/A,3320,Political Science and International Relations,38,451,738,Palacky University Olomouc,Palacky University Olomouc,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045764,18058809,24646695
21101045764,"European Studies: The Review of European Law, Economics and Politics",51,57,32,0.9,0.438,#N/A,2000,"Economics, Econometrics and Finance (all)",30,197,284,Palacky University Olomouc,Palacky University Olomouc,j,No,3,FALSE,https://www.scopus.com/sourceid/21101045764,18058809,24646695
21101045765,Eastern African Literary and Cultural Studies,65,64,50,1,0.779,0.188,1208,Literature and Literary Theory,93,79,1160,Taylor and Francis Ltd.,Taylor & Francis,j,No,1,TRUE,https://www.scopus.com/sourceid/21101045765,23277408,23277416
21101045765,Eastern African Literary and Cultural Studies,65,64,50,1,0.779,0.188,3316,Cultural Studies,72,377,1371,Taylor and Francis Ltd.,Taylor & Francis,j,No,2,FALSE,https://www.scopus.com/sourceid/21101045765,23277408,23277416
21101045766,Policy Design and Practice,1061,114,88,9.3,1.468,0.932,3320,Political Science and International Relations,98,15,738,Taylor and Francis Ltd.,Taylor & Francis,j,Yes,1,TRUE,https://www.scopus.com/sourceid/21101045766,,25741292
21101045766,Policy Design and Practice,1061,114,88,9.3,1.468,0.932,3321,Public Administration,94,13,242,Taylor and Francis Ltd.,Taylor & Francis,j,Yes,1,TRUE,https://www.scopus.com/sourceid/21101045766,,25741292
21101045767,Journal of Hospitality and Tourism Insights,3039,364,89,8.3,1.675,1.134,1409,"Tourism, Leisure and Hospitality Management",79,31,151,Emerald Group Publishing Ltd.,Emerald Publishing,j,No,1,FALSE,https://www.scopus.com/sourceid/21101045767,25149792,25149806
21101045768,Journal for Interdisciplinary Middle Eastern Studies,7,28,18,0.3,0,0.101,3320,Political Science and International Relations,11,651,738,Ariel University Press,Ariel University Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045768,2522347X,25226959
21101045768,Journal for Interdisciplinary Middle Eastern Studies,7,28,18,0.3,0,0.101,3312,Sociology and Political Science,10,1339,1497,Ariel University Press,Ariel University Press,j,No,4,FALSE,https://www.scopus.com/sourceid/21101045768,2522347X,25226959
21101045769,European Security,784,129,80,6.1,2.298,1.342,3320,Political Science and International Relations,93,45,738,Taylor and Francis Ltd.,Taylor & Francis,j,No,1,TRUE,https://www.scopus.com/sourceid/21101045769,09662839,17461545
21101045770,Nordic Journal of Studies in Policing,47,34,53,1.4,0.352,0.259,3308,Law,59,453,1105,Scandinavian University Press,Scandinavian University Press,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045770,,27037045
21101045770,Nordic Journal of Studies in Policing,47,34,53,1.4,0.352,0.259,3312,Sociology and Political Science,51,729,1497,Scandinavian University Press,Scandinavian University Press,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045770,,27037045
21101045770,Nordic Journal of Studies in Policing,47,34,53,1.4,0.352,0.259,3301,Social Sciences (miscellaneous),51,329,674,Scandinavian University Press,Scandinavian University Press,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045770,,27037045
21101045770,Nordic Journal of Studies in Policing,47,34,53,1.4,0.352,0.259,3304,Education,37,1018,1620,Scandinavian University Press,Scandinavian University Press,j,Yes,3,FALSE,https://www.scopus.com/sourceid/21101045770,,27037045
21101045771,Comparative Literature: East and West,32,64,30,0.5,0.964,0.186,1208,Literature and Literary Theory,77,256,1160,Informa Healthcare,Taylor & Francis,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101045771,,25723618
21101045771,Comparative Literature: East and West,32,64,30,0.5,0.964,0.186,3316,Cultural Studies,50,672,1371,Informa Healthcare,Taylor & Francis,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101045771,,25723618
21101046163,ECNU Review of Education,940,164,79,5.7,1.715,0.683,3304,Education,85,238,1620,SAGE Publications Ltd,SAGE,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101046163,20965311,26321742
21101046164,Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya,149,169,34,0.9,1.001,0.47,1202,History,80,365,1850,Cimmeria Publishing,Cimmeria Publishing,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101046164,,27132021
21101046164,Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya,149,169,34,0.9,1.001,0.47,1204,Archeology (arts and humanities),69,135,443,Cimmeria Publishing,Cimmeria Publishing,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101046164,,27132021
21101046164,Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya,149,169,34,0.9,1.001,0.47,1203,Language and Linguistics,64,395,1126,Cimmeria Publishing,Cimmeria Publishing,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101046164,,27132021
21101046165,Boletin de la Asociacion Espanola de Entomologia,75,92,37,0.8,0.407,0.225,1109,Insect Science,16,157,187,Asociacion espanola de Entomologia,Asociacion espanola de Entomologia,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046165,02108984,
21101046165,Boletin de la Asociacion Espanola de Entomologia,75,92,37,0.8,0.407,0.225,2303,Ecology,15,408,481,Asociacion espanola de Entomologia,Asociacion espanola de Entomologia,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046165,02108984,
21101046165,Boletin de la Asociacion Espanola de Entomologia,75,92,37,0.8,0.407,0.225,1106,Food Science,15,343,404,Asociacion espanola de Entomologia,Asociacion espanola de Entomologia,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046165,02108984,
21101046166,Siberian Medical Review,122,381,20,0.3,0.159,0.112,2700,Medicine (all),16,556,668,Krasnoyarsk State Medical University,Krasnoyarsk State Medical University,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046166,18199496,25000136
21101046167,Journal of Cultural Analytics,204,95,61,2.1,2.425,0.528,1208,Literature and Literary Theory,98,22,1160,"Department of Languages, Literatures, and Cultures, McGill University","Department of Languages, Literatures, and Cultures, McGill University",j,Yes,1,TRUE,https://www.scopus.com/sourceid/21101046167,,23714549
21101046167,Journal of Cultural Analytics,204,95,61,2.1,2.425,0.528,1202,History,95,84,1850,"Department of Languages, Literatures, and Cultures, McGill University","Department of Languages, Literatures, and Cultures, McGill University",j,Yes,1,TRUE,https://www.scopus.com/sourceid/21101046167,,23714549
21101046167,Journal of Cultural Analytics,204,95,61,2.1,2.425,0.528,1201,Arts and Humanities (miscellaneous),73,169,630,"Department of Languages, Literatures, and Cultures, McGill University","Department of Languages, Literatures, and Cultures, McGill University",j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101046167,,23714549
21101046167,Journal of Cultural Analytics,204,95,61,2.1,2.425,0.528,1701,Computer Science (miscellaneous),34,105,160,"Department of Languages, Literatures, and Cultures, McGill University","Department of Languages, Literatures, and Cultures, McGill University",j,Yes,3,FALSE,https://www.scopus.com/sourceid/21101046167,,23714549
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1108,Horticulture,22,98,126,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1111,Soil Science,22,128,164,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1102,Agronomy and Crop Science,21,325,414,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1110,Plant Science,19,432,534,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1305,Biotechnology,17,258,314,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1303,Biochemistry,11,391,441,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046168,Ratarstvo i Povrtarstvo,47,44,48,1.1,0.27,0.162,1311,Genetics,7,322,348,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,j,Yes,4,FALSE,https://www.scopus.com/sourceid/21101046168,18213944,22178392
21101046169,Boletin de la Sociedad Espanola de Espeleologia y Ciencias del Karst,5,27,7,0.2,0.23,0.103,1904,Earth-Surface Processes,5,174,183,Sociedad Espanola de Espeleologia y Ciencias del Karst,Sociedad Espanola de Espeleologia y Ciencias del Karst,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046169,16961897,
21101046169,Boletin de la Sociedad Espanola de Espeleologia y Ciencias del Karst,5,27,7,0.2,0.23,0.103,1907,Geology,1,324,330,Sociedad Espanola de Espeleologia y Ciencias del Karst,Sociedad Espanola de Espeleologia y Ciencias del Karst,j,No,4,FALSE,https://www.scopus.com/sourceid/21101046169,16961897,
21101046170,Journal of Statistics and Data Science Education,678,144,76,4.7,1.517,0.813,2613,Statistics and Probability,86,39,293,Taylor and Francis Ltd.,Taylor & Francis,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101046170,,26939169
21101046170,Journal of Statistics and Data Science Education,678,144,76,4.7,1.517,0.813,3304,Education,80,320,1620,Taylor and Francis Ltd.,Taylor & Francis,j,Yes,1,FALSE,https://www.scopus.com/sourceid/21101046170,,26939169
21101046170,Journal of Statistics and Data Science Education,678,144,76,4.7,1.517,0.813,1803,Management Science and Operations Research,63,81,218,Taylor and Francis Ltd.,Taylor & Francis,j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101046170,,26939169
21101046171,Agraris,181,63,60,2.9,0.565,0.302,3301,Social Sciences (miscellaneous),72,187,674,"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta","Department of Agribusiness, Universitas Muhammadiyah Yogyakarta",j,Yes,2,FALSE,https://www.scopus.com/sourceid/21101046171,2407814X,25279238
