eid,index,afid,name,domain,url,variants
10-s2.0-116394200,20262,116394200,Laboratory of Research,,,"['Laboratory Of Research', 'Laboratory Of Surgical Research']"
10-s2.0-100528191,20264,100528191,Secretaria de Atenção à Saúde,,,"['Secretaria De Atenção À Saúde', 'Secretaria De Políticas De Saúde']"
10-s2.0-109522786,20265,109522786,Escola de Saúde Pública de Minas Gerais,,,"['Escola De Saúde Pública De Minas Gerais', 'Escola De Saúde Pública Do Estado De Minas Gerais', 'Mental Escola De Saúde Pública De Minas Gerais', 'Escuela De Saude De Minas Gerais', 'Escola Politécnica De Minas Gerais', 'Escola De Saúde Pública De Minas Gerais-belo Horizonte (mg)', 'Escola De Saúde Pública De Minas Gerais - Esp-mg']"
10-s2.0-105239704,20268,105239704,Instituto Avanços em Medicina,,,[]
10-s2.0-116349621,20267,116349621,Claretiano University Center and Cardiovascular and Metabolic Rehabilitation Project,,,['Claretiano University Center and Cardiovascular and Metabolic Rehabilitation Project']
10-s2.0-105211454,20266,105211454,Association for the Incentive Funding of Psychopharmacology/Laboratory Medicine,,,"['Psychopharmacology Support Fund Association (afip)', 'Association Funding Incentives For Psychopharmacology (afip)', 'Association For The Incentive Funding Of Psychopharmacology/laboratory Medicine']"
10-s2.0-115337394,20271,115337394,Faculty of Health Science (FACIS),,,[]
10-s2.0-113104274,20270,113104274,São Camilo University,,,[]
10-s2.0-113088265,20272,113088265,Hospital Do Rio,,,"['Hospital Do Rio', 'Do Rio De Janeiro', 'Bioparque Do Rio']"
10-s2.0-116266946,20274,116266946,Instituto de Pesquisa Aplicada em Medicina-INSPAM,,,['Instituto de Pesquisa Aplicada em Medicina-INSPAM']
10-s2.0-129993862,20275,129993862,Lara Rosana Vieira Silva: Identification Institute,,,['Lara Rosana Vieira Silva: Identification Institute']
10-s2.0-105732463,20273,105732463,CDPI and Multi-Imagem Clinics,,,"['CDPI and Multi-Imagem Clinics', 'Clínicas CDPI and Multi-Imagem', 'Clinics CDPI and Multi-Imagem']"
10-s2.0-129994131,20276,129994131,Leila Lopes Mizokami: Identification Institute,,,['Leila Lopes Mizokami: Identification Institute']
10-s2.0-100633433,20278,100633433,São Carlos University,,,"['São Carlos University', 'Sao Carlos Univ.', 'Hospital São Carlos', 'University Sao Carlos', 'University Of São Carlos', 'University Of Federal De São Carlos', 'São Carlos Sp', 'São Carlos Federa University', 'São Carlos Faculty', 'Sao Carlos Hospital']"
10-s2.0-129993824,20277,129993824,Paola Rabello Vieira: Identification Institute,,,['Paola Rabello Vieira: Identification Institute']
10-s2.0-114002013,20281,114002013,Urinalysis Sector,,,['Urinalysis Sector']
10-s2.0-109853856,20280,109853856,Centro Clinico Mae de Deus,,,"['Centro Clínico Mãe De Deus', 'Centro Clinico Mae De Deus', 'Centre Clinico Mae De Deus']"
10-s2.0-115419213,20279,115419213,National Institute of Developmental Psychiatry (INPD),,,[]
10-s2.0-101323241,20283,101323241,Nephrology Unit,,,"['Nephrology Unit', 'Nephrology', 'Division Of Nephrology']"
10-s2.0-105992726,20284,105992726,Hospital Cardiopulmonar,,,[]
10-s2.0-116155387,20282,116155387,Urology Institute,,,['Urology Unit']
10-s2.0-116400401,20285,116400401,Endocrinology Unit,,,[]
10-s2.0-116341426,20287,116341426,Nossa Senhora da Conceição Hospital,,,"['Nossa Senhora Da Conceição Hospital', 'Nossa Senhora Da Conceicao Hospital']"
10-s2.0-116341442,20286,116341442,Irmandade Santa Casa de Misericórdia Hospital,,,['Irmandade Santa Casa de Misericórdia Hospital']
10-s2.0-116341415,20288,116341415,Institute for Health Technology Assessment,,,['Institute For Health Technology Assessment']
10-s2.0-100501383,20290,100501383,Souza Marques Foundation,,,[]
10-s2.0-109488959,20289,109488959,University of Pelotas,,,[]
10-s2.0-116272072,20291,116272072,Public Health Research Group,,,"['Public Health Research Group', 'Public Health Research Group\xa0']"
10-s2.0-116180403,20293,116180403,HUMAP,,,['HUMAP']
10-s2.0-116180464,20292,116180464,Federal University Hospital of Mato Grosso Do sul (HUMAP),,,['Federal University Hospital of Mato Grosso Do sul (HUMAP)']
10-s2.0-116251047,20295,116251047,Faculty of Juazeiro Brazil,,,['Faculty of Juazeiro Brazil']
