eid,subject area code
2-s2.0-85066805644,1106
2-s2.0-85066805644,2916
2-s2.0-85066805644,1303
2-s2.0-85066805644,1314
2-s2.0-85066805644,2712
2-s2.0-85066805644,2739
2-s2.0-85064922824,2900
2-s2.0-85064915777,2900
2-s2.0-85064910771,2900
2-s2.0-85064900077,2900
2-s2.0-85063283858,1106
2-s2.0-85063283858,2712
2-s2.0-85063283858,1303
2-s2.0-85063283858,1314
2-s2.0-85063283858,2916
2-s2.0-85063283858,2739
2-s2.0-85062962749,2701
2-s2.0-85062962749,2916
2-s2.0-85059430405,2204
2-s2.0-85059430405,2909
2-s2.0-85059430405,2717
2-s2.0-85059373373,2204
2-s2.0-85059373373,2909
2-s2.0-85059373373,2717
2-s2.0-85059259448,1106
2-s2.0-85059259448,2916
2-s2.0-85059259448,1303
2-s2.0-85059259448,1314
2-s2.0-85059259448,2712
2-s2.0-85059259448,2739
2-s2.0-85059243276,2900
2-s2.0-85059241967,2900
2-s2.0-85059138885,3203
2-s2.0-85059138885,2909
2-s2.0-85059138885,2717
2-s2.0-85059138885,2738
2-s2.0-85058902523,2900
2-s2.0-85058879396,2900
2-s2.0-85058805745,2900
2-s2.0-85058805745,2703
2-s2.0-85058677914,2701
2-s2.0-85058677914,2916
2-s2.0-85058676069,2701
2-s2.0-85058676069,2916
2-s2.0-85058309564,1106
2-s2.0-85058309564,2916
2-s2.0-85058002626,1106
2-s2.0-85058002626,2916
2-s2.0-85057562792,2911
2-s2.0-85057562792,2719
2-s2.0-85057562792,2739
2-s2.0-85057136227,2701
2-s2.0-85057136227,2916
2-s2.0-85057136227,2717
2-s2.0-85056707346,2921
2-s2.0-85056707346,2738
2-s2.0-85056707346,2803
2-s2.0-85056570237,2916
2-s2.0-85056570237,2706
2-s2.0-85056376640,2701
2-s2.0-85056376640,2916
2-s2.0-85056334948,2724
2-s2.0-85056334948,2705
2-s2.0-85056334948,2903
2-s2.0-85056334948,2902
2-s2.0-85056323172,2724
2-s2.0-85056323172,2705
2-s2.0-85056323172,2903
2-s2.0-85056323172,2902
2-s2.0-85056243316,1305
2-s2.0-85056243316,1106
2-s2.0-85056243316,1102
2-s2.0-85056243316,2916
2-s2.0-85055906280,2901
2-s2.0-85055793196,2730
2-s2.0-85055793196,2917
2-s2.0-85055793196,2706
2-s2.0-85055789400,2712
2-s2.0-85055789400,1312
2-s2.0-85055789400,1311
2-s2.0-85055789400,2916
2-s2.0-85055789400,2705
2-s2.0-85055789400,1307
2-s2.0-85055414622,1106
