auid,given name,surname,indexed name
35077516700,Vladmir C.,Lima,Lima V.C.
6602420952,Wagner,Fontes,Fontes W.
57203232909,Ruffo,Freitas,Freitas R.
8643537300,Agda Karina,Eterovic,Eterovic A.K.
23978224600,Patrice,Forget,Forget P.
56117650200,Pablo S.,Fontoura,Fontoura P.S.
57192890322,Bruna F.,Finco,Finco B.F.
55350464200,Nathália F.,Lima,Lima N.F.
57192894698,Jaques F.,de Carvalho,de Carvalho J.F.
7003519222,Joseph M.,Vinetz,Vinetz J.M.
22933643900,Márcia C.,Castro,Castro M.C.
7402787474,Marcelo U.,Ferreira,Ferreira M.U.
57217461660,Vivian I.,Avelino-Silva,Avelino-Silva V.I.
54793437400,Karina T.,Miyaji,Miyaji K.T.
7202324398,Peter W.,Hunt,Hunt P.W.
56185757900,Yong,Huang,Huang Y.
7102405712,Marisol,Simoes,Simoes M.
56124169000,Sheila B.,Lima,Lima S.B.
35601671400,Marcos S.,Freire,Freire M.S.
6602929829,Helio H.,Caiaffa-Filho,Caiaffa-Filho H.H.
17934651500,Marisa A.,Hong,Hong M.A.
57079526900,Dayane Alves,Costa,Costa D.A.
57192897478,Juliana Zanatta C.,Dias,Dias J.Z.C.
57190671240,Natalia B.,Cerqueira,Cerqueira N.B.
6602408002,Anna Shoko,Nishiya,Nishiya A.S.
57217499362,Ester Cerdeira,Sabino,Sabino E.C.
36726938700,Ana M.,Sartori,Sartori A.M.
35499569700,Esper G.,Kallas,Kallas E.G.
13006834400,Gaëlle,Breton,Breton G.
57192870228,Shiwei,Zheng,Zheng S.
56131985300,Renan,Valieris,Valieris R.
23096259300,Israel Tojal,da Silva,da Silva I.T.
15063431800,Rahul,Satija,Satija R.
7005243263,Michel C.,Nussenzweig,Nussenzweig M.C.
7006139955,Luiz Francisco,Cardoso,Cardoso L.F.
57192716876,Daniella Vianna C.,Krokoscz,Krokoscz D.V.C.
8302295600,Edison Ferreira,de Paiva,de Paiva E.F.
57192715418,Ilka Spinola,Furtado,Furtado I.S.
57192717070,Jorge,Mattar,Mattar J.
57192719418,Marcia Martiniano,de Souza e Sá,de Souza e Sa M.M.
57190619067,Antonio Carlos Onofre,de Lira,de Lira A.C.O.
8287174300,Daniele,Porretta,Porretta D.
15849115100,Maria Stefania,Latrofa,Latrofa M.S.
8966709300,Filipe,Dantas-Torres,Dantas-Torres F.
55355370600,Valentina,Mastrantonio,Mastrantonio V.
23485609400,Roberta,Iatta,Iatta R.
7004513640,Domenico,Otranto,Otranto D.
6603744319,Sandra,Urbanelli,Urbanelli S.
35575132500,Luciana Kase,Tanno,Tanno L.K.
7005161322,Moises A.,Calderon,Calderon M.A.
35354006800,Nikolaos G.,Papadopoulos,Papadopoulos N.G.
57193407618,Mario,Sanchez-Borges,Sanchez-Borges M.
7005127504,Lanny J.,Rosenwasser,Rosenwasser L.J.
55156315400,Jean,Bousquet,Bousquet J.
7005904460,Ruby,Pawankar,Pawankar R.
27467902300,Juan Carlos,Sisul,Sisul J.C.
27367462600,Alfonso Mario,Cepeda,Cepeda A.M.
36066475200,James,Li,Li J.
56351462100,Antonella,Muraro,Muraro A.
7004303280,Stanley,Fineman,Fineman S.
6603679185,James L.,Sublett,Sublett J.L.
57196316210,Constance H.,Katelaris,Katelaris C.H.
55712986100,Yoon Seok,Chang,Chang Y.-S.
56473736700,Hee Bom,Moon,Moon H.-B.
7005524902,Thomas,Casale,Casale T.
7103273891,Pascal,Demoly,Demoly P.
6508120198,Pilar,Brito-Zerón,Brito-Zeron P.
55583512600,Roberto,Pérez-Alvarez,Perez-Alvarez R.
6603767429,Lucio,Pallarés,Pallares L.
36859663700,Soledad,Retamozo,Retamozo S.
