eid,auid,creator
2-s2.0-85114352249,57247745200,False
2-s2.0-85114352249,57205769047,False
2-s2.0-85114352249,8102573300,False
2-s2.0-85114348997,57220198492,True
2-s2.0-85114348997,57190609557,False
2-s2.0-85114348997,57204072743,False
2-s2.0-85114348997,57204323957,False
2-s2.0-85114348997,56282281800,False
2-s2.0-85114348997,57198761617,False
2-s2.0-85114348997,56411747100,False
2-s2.0-85114348997,57193727310,False
2-s2.0-85114348997,15623862700,False
2-s2.0-85114348997,25632580200,False
2-s2.0-85114348997,56950394200,False
2-s2.0-85114348997,7006952088,False
2-s2.0-85114344872,57248177200,True
2-s2.0-85114344872,57248601300,False
2-s2.0-85114344872,57248601400,False
2-s2.0-85114344872,57247958600,False
2-s2.0-85114344872,57248177300,False
2-s2.0-85114344872,57247744000,False
2-s2.0-85114344872,57248390700,False
2-s2.0-85114344872,57247958700,False
2-s2.0-85114344872,6602616369,False
2-s2.0-85114344872,36677301200,False
2-s2.0-85114318615,56241619800,True
2-s2.0-85114318615,56236160300,False
2-s2.0-85114318615,55623681500,False
2-s2.0-85114318615,57247744200,False
2-s2.0-85114318615,6505894818,False
2-s2.0-85114318615,12644965400,False
2-s2.0-85114318615,6701584651,False
2-s2.0-85114305858,57247529800,True
2-s2.0-85114305858,15756445600,False
2-s2.0-85114305858,6603627547,False
2-s2.0-85114305858,6603666634,False
2-s2.0-85113171358,57204454051,True
2-s2.0-85113171358,57196006755,False
2-s2.0-85113171358,24577149900,False
2-s2.0-85113171358,57221914678,False
2-s2.0-85113171358,16646393000,False
2-s2.0-85113171358,56801753800,False
2-s2.0-85103328403,56754720500,False
2-s2.0-85103328403,56754654900,False
2-s2.0-85103328403,36939064400,False
2-s2.0-85103328403,57221935270,False
2-s2.0-85103328403,7201676274,False
2-s2.0-85100954350,57224165921,True
2-s2.0-85100954350,57209397473,False
2-s2.0-85100954350,57200544380,False
2-s2.0-85100954350,57209397624,False
2-s2.0-85100954350,57247308400,False
2-s2.0-85100954350,36134760300,False
2-s2.0-85100954350,55695498300,False
2-s2.0-85100954350,6507327203,False
2-s2.0-85100954350,57193949691,False
2-s2.0-85100859553,55964342500,True
2-s2.0-85100859553,57200078178,False
2-s2.0-85100859553,12767999500,False
2-s2.0-85100859553,57454283400,False
2-s2.0-85100843927,37077106300,False
2-s2.0-85100843927,57222531064,False
2-s2.0-85100843927,7801647518,False
2-s2.0-85100843927,6603006631,False
2-s2.0-85089541451,57248390800,True
2-s2.0-85089541451,57219716518,False
2-s2.0-85089541451,57078198400,False
2-s2.0-85089541451,7003709994,False
2-s2.0-85083997232,57247094300,True
2-s2.0-85083997232,6505894818,False
2-s2.0-85083997232,23969681300,False
2-s2.0-85079125037,56086042200,True
2-s2.0-85079125037,7004262088,False
2-s2.0-85077360140,57195807302,True
2-s2.0-85077360140,57190859714,False
2-s2.0-85077360140,55258857900,False
2-s2.0-85077360140,51665753400,False
2-s2.0-85077360140,6603459349,False
2-s2.0-85075473106,57203970162,True
2-s2.0-85075473106,35195242800,False
2-s2.0-85075473106,14122998100,False
2-s2.0-85071644560,56369836500,True
2-s2.0-85071644560,57194780690,False
2-s2.0-85071644560,58507408200,False
2-s2.0-85071644560,57073362300,False
2-s2.0-85071644560,6506789945,False
2-s2.0-85068501934,7003923793,True
2-s2.0-85068501934,7102219583,False
2-s2.0-85066805644,57203785225,False
2-s2.0-85066805644,57247308700,False
2-s2.0-85066805644,57219962116,False
2-s2.0-85066805644,24074132600,False
2-s2.0-85066805644,57201324711,False
2-s2.0-85066805644,57208684772,False
2-s2.0-85066805644,7004278975,False
2-s2.0-85064922824,57208487174,False
2-s2.0-85064922824,35582047500,False
2-s2.0-85064915777,7402191101,False
2-s2.0-85064915777,57197543076,False
2-s2.0-85064915777,6602264703,False
2-s2.0-85064910771,57208497236,True
2-s2.0-85064910771,57208488951,False
2-s2.0-85064910771,35344471600,False
2-s2.0-85064910771,57196062138,False
2-s2.0-85064910771,35095462500,False
2-s2.0-85064910771,57208483885,False
2-s2.0-85064900077,55842964100,True
2-s2.0-85064900077,54893074000,False
2-s2.0-85064900077,23991336500,False
2-s2.0-85064900077,36009861000,False
