index,afid,name,domain,url,variants
490,116075483,Hospital Beneficenca Portuguesa,,,['Hospital Beneficenca Portuguesa']
491,126183287,Brazilian National Food and Nutritional Security Council,,,['Brazilian National Food And Nutritional Security Council']
492,60000513,Universidade Norte do Parana,www2.unopar.br,http://www2.unopar.br,"['University of the Northern Parana', 'Universidade Norte do Parana', 'University of Northern Paraná']"
493,116189929,Secretaria Estadual da Agricultura e Pecuária,,,['Secretaria Estadual da Agricultura e Pecuária']
494,105951470,São José do Rio Preto Medical School,,,[]
495,131742786,Hospital das Clinica,,,['Hospital Das Clinica']
496,100516411,Escola de Enfermagem,,,['Escola De Enfermagem']
497,60015580,Universidade do Sul de Santa Catarina,unisul.br,,"['University of South Santa Catarina', 'Universidade do Sul de Santa Catarina']"
498,112969951,Maternity Hospital Therezinha de Jesus,,,[]
499,60086757,"Hospital Monte Sinai, Juiz de Fora",,http://www.hospitalmontesinai.com.br/agenda.aspx?p_id_categoria=10,"['Hospital Monte Sinai, Juiz de Fora']"
500,60069328,Hospital Sao Rafael,hsr.com.br,http://www.hsr.com.br/,['Hospital Sao Rafael']
501,112979378,Associação Fundo de Incentivo à Pesquisa,,,[]
502,115577240,ORIGEN - Center for Reproductive Medicine,,,[]
503,112979243,ORIGEN Center for Reproductive Medicine,,,[]
504,113766432,National Institute of Science and Technology of Tropical Diseases,,,['National Institute Of Science And Technology Of Tropical Diseases']
505,110515612,Laboratório Nacional Agropecuário,,,"['Laboratório Nacional Agropecuário', 'Laboratório Nacional Agropecuário/rs']"
506,60025701,Universidade de Passo Fundo,upf.br,https://www.upf.br/english,"['University of Passo Fundo', 'Universidade de Passo Fundo']"
507,60038317,Embrapa Arroz e Feijão,,https://www.embrapa.br/arroz-e-feijao,"['Embrapa Arroz e Feijão', 'Embrapa Rice and Beans']"
508,125758303,CEFOR - Centro da Face e Otorrino,,,['Cefor - Centro Da Face E Otorrino']
509,60086762,Hospital Universitário Cajuru,hospitalcajuru.org.br,http://www.hospitalcajuru.org.br/,['Hospital Universitário Cajuru']
510,114559841,Mendelics Genomic Analysis,,,[]
511,106010152,State Government of Rio Grande do Sul,,,[]
512,112696739,Centro de Estudos do Laboratório de Aptidão Física de São Caetano do Sul,,,[]
513,106634343,Faculdade Evangélica do Paraná,,,"['Faculdade Evangélica Do Paraná', 'Faculdade Evangélica Mackenzie Do Paraná', 'Faculdade Evangélica Do Paraná (fepar)', 'Faculdade Evangélica Do Parana', 'Faculdade Evangé-lica Do Paraná', 'Faculdade Evangelica Do Parana', 'Faculdade De Artes Do Paraná']"
514,60010970,Universidade Tuiuti do Parana,utp.br,http://www.utp.br,"['Tuiuti University of Parana', 'Universidade Tuiuti do Parana']"
515,60279202,Evangelical University of Goiás – Unievangelica,en.unievangelica.edu.br,http://en.unievangelica.edu.br/,"['Evangelical University of Goiás – Unievangelica', 'Evangélica College of Goianésia', 'Universidade Evangélica de Goiás']"
516,121397016,FMP-FASE,,,"['Fmp-fase', 'Fmp']"
517,105708401,Centro,,,"['Centro', 'Centro.']"
518,117969187,Brazilian Society of Pneumology and Phthisiology,,,['Brazilian Society of Pneumology and Phthisiology']
519,60101677,Instituto Federal do Espírito Santo,ifes.edu.br,https://www.ifes.edu.br/,"['Instituto Federal do Espírito Santo', 'Federal Institute of Espírito Santo']"
520,105297034,Barretos Cancer Hospital,,,[]
521,116272568,CLION - CAM Group,,,"['Clion - Cam Group', 'Medical Dental At Clion - Cam Group', 'Clínica Clion – Grupo Cam', 'Clion–cam Group', 'Clion-cam Group', 'Clion And Cam']"
522,112568530,Instituto de Reumatologia de São Paulo,,,[]
523,106737567,UFMG,,,[]
524,60000273,Pontifícia Universidade Católica de São Paulo,pucsp.br,https://www.pucsp.br/home,"['Pontifical Catholic University of Sao Paulo', 'Pontifícia Universidade Católica de São Paulo']"
525,60013265,Universidade Veiga de Almeida,uva.br,http://www.uva.br,"['Veiga de Almeida University', 'Universidade Veiga de Almeida']"
