eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85042829746,10.1057/978-1-137-46297-8_3,,,Manufacturing industry and growth: An interpretation for the performance of the brazilian economy in the 1990s and 2000s,ch,Book Chapter,Feijo C.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,37-61,,,1,0,,,,,
2-s2.0-85042828908,10.1057/978-1-137-46297-8_8,,,Long-Term Finance in Brazil: The role of the brazilian development bank (BNDES),ch,Book Chapter,Pinto L.,,Columbia University,New York,United States,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,151-176,,,1,0,,,,,
2-s2.0-85042828443,10.1057/978-1-137-46297-8_9,,,Evolution of financial markets in post- stabilization Brazil: Trends and traits,ch,Book Chapter,De Carvalho R.,,Universidade Federal de São Paulo,Sao Paulo,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,177-202,,,0,0,,,,,
2-s2.0-85042825686,10.1057/978-1-137-46297-8_10,,,"Brazil’s macroprudential framework to tackle the great financial Crisis: Monetary policy, financial regulation and the banking system",ch,Book Chapter,De Modenesi A.,,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,203-233,,,0,0,,,,,
2-s2.0-85042817921,10.1057/978-1-137-46297-8_2,,,The brazilian economy at the end of the 20th century,ch,Book Chapter,Antunes D.,,Faculdades Campinas,Campinas,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,9-33,,,0,0,,,,,
2-s2.0-85042816827,10.1057/978-1-137-46297-8_4,,,Deindustrialization in Brazil?,ch,Book Chapter,Mended De Paula G.,,Universidade Federal de Uberlândia,Uberlandia,Brazil,,,,,2016-01-01,1 January 2016,New Brazilian Economy Dynamic Transitions into the Future,,21100854052,,Book,,,,63-85,,,2,0,,,,,
2-s2.0-85042616532,10.1007/978-3-319-25439-5_7,,,Do Open Data Initiatives Promote and Sustain Transparency? A Comparative Analysis of Open Budget Portals in Developing Countries,ch,Book Chapter,Kasymova J.,,Buffalo State University,Buffalo,United States,,,,,2016-01-01,2016,Public Administration and Information Technology,25121812,21100894854,25121839,Book Series,20,,,137-155,,,7,0,,,,,
2-s2.0-85040531081,,,,Competences of local innovation agents: Content analysis employing Atlas TI,ar,Article,de Carvalho G.D.G.,,Pontifícia Universidade Católica do Paraná,Curitiba,Brazil,,,,,2016-01-01,2016,Espacios,07981015,11200153556,,Journal,37,18,,1-20,,,2,0,,,,,
2-s2.0-85035403777,10.1590/S0034-759020160101,,,"Seven years later, the farewell",ed,Editorial,Diniz E.,,Fundacao Getulio Vargas,Rio de Janeiro,Brazil,,,,,2016-01-01,2016,RAE Revista De Administracao De Empresas,00347590,21100212700,2178938X,Journal,56,1,,,,,1,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-85032785450,10.1108/MRJIAM-07-2016-0677,,,An organizational economics approach on the pursuit of socioemotional and financial wealth in family firms: Are these competing or complementary objectives?,ar,Article,Kabbach de Castro L.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2016-01-01,2016,Management Research,15365433,21100823284,15580946,Journal,14,3,,267-278,,,13,0,,,,,
2-s2.0-85032375511,10.1590/1678-69712016/administracao.v17n6p191-215,,,Family agro-industry clusters from the social innovation perspective,re,Review,Patias T.Z.,,Universidade Federal do Pampa,Bage,Brazil,,,,,2016-01-01,2016,Revista De Administracao Mackenzie,15186776,21100896892,16786971,Journal,17,6,,191-215,,,1,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85032087869,,,,"Attraction of male bees of the tribe euglossini (hymeoptera, apoidea) by synthetic aromatics compounds in the parque nacional de sete cidades, piauí, Brazil",ar,Article,do Nascimento G.S.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2016-01-01,2016,Espacios,07981015,11200153556,,Journal,37,5,,1-1,,,3,0,,,,,
