eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85031005600,10.11591/ijeecs.v7.i3.pp839-845,,,Software aging forecasting using time series model,ar,Article,Umesh I.,,Bharathiar University,Coimbatore,India,,,,,2017-09-01,September 2017,Indonesian Journal of Electrical Engineering and Computer Science,25024752,21100799500,25024760,Journal,7,3,,839-845,,,3,1,all repository repositoryvor,All Open Access Green,,,
2-s2.0-85030996546,10.1109/TIA.2017.2708681,,,A Bridgeless Controlled Rectifier for Single Split-Phase Systems,ar,Article,De Moraes Lima Marinus N.S.,,Universidade Federal de Campina Grande;Federal Institute of Ceará,Campina Grande;Sobral,Brazil;Brazil,,,,,2017-09-01,September-October 2017,IEEE Transactions on Industry Applications,00939994,17361,,Journal,53,5,7935345,4708-4717,,,17,0,,,,,
2-s2.0-85030995615,10.1109/ICTON.2017.8025128,,,Planning and evaluation of translucent elastic optical networks in terms of cost-benefit,cp,Conference Paper,Brasileiro I.B.,,Universidade Federal do Piauí,Teresina,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8025128,,,,3,0,,,,,
2-s2.0-85030991593,10.1109/ICTON.2017.8024971,,,Estimating the spectral gain and the noise figure of EDFA using artificial neural networks,cp,Conference Paper,Bastos-Filho C.J.A.,,Universidade de Pernambuco,Recife,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024971,,,,6,0,,,,,
2-s2.0-85030975264,10.1109/ICTON.2017.8024734,,,Protection considering power consumption and physical layer impairments in dynamic elastic optical networks,cp,Conference Paper,Fontinele A.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-09-01,1 September 2017,International Conference on Transparent Optical Networks,,20300195064,21627339,Conference Proceeding,,,8024734,,,,0,0,,,,,
2-s2.0-85030831871,10.20898/j.iass.2017.193.872,,,Active bending and tensile pantographic bamboo hybrid amphitheater structure,re,Review,Seixas M.,,Pontifícia Universidade Católica do Rio de Janeiro;Bambutec Design,Rio de Janeiro;Rio de Janeiro,Brazil;Brazil,,,,,2017-09-01,September 2017,Journal of the International Association for Shell and Spatial Structures,1028365X,40853,19969015,Journal,58,3,,239-252,,,13,0,,,,,
2-s2.0-85030483923,,,,Wastes from planted forests may be protagonists in iNDC in Brazil,sh,Short Survey,Berni M.,,Universidade Estadual de Campinas,Campinas,Brazil,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,78-79,,,0,0,,,,,
2-s2.0-85030456174,,,,Zé Pacel investigates an interesting case about paper type,sh,Short Survey,D'Almeida M.,,Instituto de Pesquisas Tecnologicas,Sao Paulo,Brazil,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,80-81,,,0,0,,,,,
2-s2.0-85030456081,,,,Growing pellet production in Brazil,sh,Short Survey,Garcia D.,,Engenharia Florestal das Faculdades FAIT (Itapeva-SP),,Brazil,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,83-84,,,1,0,,,,,
2-s2.0-85030454712,,,,Determination of the chemical composition of kraft pulping process using near-infrared spectroscopy and multivariate regression,ar,Article,De Souza G.E.S.,,Lwarcel Celulose Ltda,,Brazil,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,85-91,,,0,0,,,,,
2-s2.0-85030454348,,,,Mediation and socio-environmental conflicts,ar,Article,De Toledo Piza P.,,Graduado Pela Universidade Mackenzie,,Brazil,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,38-40,,,0,0,,,,,
2-s2.0-85030448953,,,,Material engineering - An essential tool in the context of Maintenance Engineering,ar,Article,Scidner E.,,,,,,,,,2017-09-01,September 2017,O Papel,00311057,15191,,Trade Journal,78,9,,92-97,,,0,0,,,,,
2-s2.0-85030323395,10.1177/1550147717732446,,,Edge computing in the Internet of Things,ed,Editorial,Kang K.D.,,Binghamton University State University of New York,Binghamton,United States,,,,,2017-09-01,1 September 2017,International Journal of Distributed Sensor Networks,15501329,5800173381,15501477,Journal,13,9,,,,,2,1,all publisherfullgold repository repositoryvor,All Open Access Gold Green,,,
2-s2.0-85030222128,10.1002/navi.203,,,Equatorial Plasma Bubble Threat Parameterization to Support GBAS Operations in the Brazilian Region,ar,Article,Yoon M.,,Korea Advanced Institute of Science and Technology,Daejeon,South Korea,,,,,2017-09-01,Autumn (Fall) 2017,Navigation Journal of the Institute of Navigation,00281522,12174,,Journal,64,3,,309-321,,,38,0,,,,,
2-s2.0-85030184618,10.1109/MRA.2017.2722180,,,IEEE Standards Association P7007 ? Call for Participation [Standards],no,Note,Prestes E.,,Federal University,Rio Grande,Brazil,,,,,2017-09-01,September 2017,IEEE Robotics and Automation Magazine,10709932,18027,,Journal,24,3,8036327,176,,,0,0,,,,,
2-s2.0-85030156865,10.1063/1.5003401,,,Computer simulations of equilibrium magnetization and microstructure in magnetic fluids,ar,Article,Rosa A.,,Universidade de Brasília,Brasília,Brazil,,,,,2017-09-01,1 September 2017,Physics of Fluids,10706631,29210,10897666,Journal,29,9,092006,,,,21,0,,,,,
2-s2.0-85030088880,10.18280/ijht.35Sp0101,,,Potential impacts of the montreal protocol kigali amendment to the choice of refrigerant alternatives,ar,Article,Polonara F.,,Università Politecnica delle Marche;RTOC,Ancona;,Italy;Kenya,,,,,2017-09-01,September 2017,International Journal of Heat and Technology,03928764,87828,,Journal,35,Special Issue 1,,S1-S8,,,54,1,all publisherfree2read repository repositoryam,All Open Access Bronze Green,,,
2-s2.0-85030087025,10.1140/epjc/s10052-017-5192-z,,,Search for heavy resonances that decay into a vector boson and a Higgs boson in hadronic final states at √s=13TeV,ar,Article,Sirunyan A.M.,,Yerevan Physics Institute,Yerevan,Armenia,,,,,2017-09-01,1 September 2017,European Physical Journal C,14346044,27545,14346052,Journal,77,9,636,,,,43,1,all publisherfullgold repository repositoryvor repositoryam,All Open Access Gold Green,,,
2-s2.0-85029949688,10.1109/TIA.2017.2703618,,,Multilevel Converter Based on Cascaded Three-Leg Converters with Reduced Voltage and Current,ar,Article,Fabricio E.L.L.,,Instituto Federal de Educação Ciência e Tecnologia da Paraíba – IFPB,Joao Pessoa,Brazil,,,,,2017-09-01,September-October 2017,IEEE Transactions on Industry Applications,00939994,17361,,Journal,53,5,7926381,4682-4694,,,9,0,,,,,
2-s2.0-85029945138,10.1109/TVT.2017.2688724,,,Exploiting WSSUS Multipath for GNSS Ranging,ar,Article,Enneking C.,,Deutsches Zentrum für Luft- und Raumfahrt (DLR),Koln,Germany,,,,,2017-09-01,September 2017,IEEE Transactions on Vehicular Technology,00189545,17393,,Journal,66,9,7888594,7663-7676,,,10,0,,,,,
2-s2.0-85029936705,10.1109/TDMR.2017.2709913,,,Deterministic Methodology for Electrical Simulation of BTI Induced Pulse Broadening,ar,Article,Firpo Furtado G.,,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,,,,,2017-09-01,September 2017,IEEE Transactions on Device and Materials Reliability,15304388,26049,15582574,Journal,17,3,7935505,507-513,,,2,0,,,,,
