eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85050565580,10.1109/COBEP.2017.8257318,,,A normalized approach for analysis and design a flyback resonant converter for energy harvesting systems,cp,Conference Paper,Naidon T.C.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,0,0,,,,,
2-s2.0-85050565174,10.1109/COBEP.2017.8257404,,,Evaluation of the performance of the state of charge on a Lithium-ion battery energy storage system applied to primary frequency regulation of microgrids,cp,Conference Paper,Oliveira T.T.,,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,1,0,,,,,
2-s2.0-85050564908,10.1109/COBEP.2017.8257242,,,Parameter estimation technique for double-diode model of photovoltaic modules,cp,Conference Paper,Nascimento A.J.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,8,0,,,,,
2-s2.0-85050564898,10.1109/COBEP.2017.8257406,,,Adaptive observer for sensorless permanent magnet synchronous machines with online pole placement,cp,Conference Paper,Filho C.J.V.,,Universidade Federal de Santa Maria,Santa Maria,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,9,0,,,,,
2-s2.0-85050564837,10.1109/COBEP.2017.8257328,,,An optimal MIMO control approach for PMSM drives,cp,Conference Paper,Meirinho C.J.,,Universidade do Estado de Santa Catarina,Florianopolis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,6,0,,,,,
2-s2.0-85050564008,10.1109/COBEP.2017.8257316,,,Implementation of droop control with enhanced power calculator for power sharing on a single-phase microgrid,cp,Conference Paper,Cardoso T.D.,,Universidade Federal de Pernambuco,Recife,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,6,0,,,,,
2-s2.0-85050563522,10.1109/COBEP.2017.8257241,,,Conception of high step-up DC-DC boost-based converters,cp,Conference Paper,Schmitz L.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,3,0,,,,,
2-s2.0-85050563055,10.1109/COBEP.2017.8257327,,,A solution proposal for communication and management of converters operating in microgrids,cp,Conference Paper,Eichstadt G.,,Universidade do Estado de Santa Catarina,Florianopolis,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,0,0,,,,,
2-s2.0-85050559193,10.1109/COBEP.2017.8257312,,,Design and lifetime analysis of a DSCC-MMC STATCOM,cp,Conference Paper,Farias J.V.M.,,Universidade Federal de Vicosa,Vicosa,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100958097,,Conference Proceeding,2018-January,,,1-6,,,9,0,,,,,
2-s2.0-85050558960,10.1109/COBEP.2017.8257240,,,Practical design of a DC-DC buck converter using an RCD snubber,cp,Conference Paper,Vaz A.R.,,Federal Center for Technological Education of Minas Gerais,Belo Horizonte,Brazil,,,,,2017-07-01,1 July 2017,14th Brazilian Power Electronics Conference Cobep 2017,,21100953529,,Conference Proceeding,2018-January,,,1-6,,,8,0,,,,,
