1801,Decision Sciences (miscellaneous),DECI
1909,Geotechnical Engineering and Engineering Geology,EART
1908,Geophysics,EART
1907,Geology,EART
1906,Geochemistry and Petrology,EART
1905,Economic Geology,EART
1904,Earth-Surface Processes,EART
1903,Computers in Earth Sciences,EART
1902,Atmospheric Science,EART
1901,Earth and Planetary Sciences (miscellaneous),EART
1900,General Earth and Planetary Sciences,EART
1910,Oceanography,EART
1913,Stratigraphy,EART
1912,Space and Planetary Science,EART
1911,Paleontology,EART
2001,"Economics, Econometrics and Finance (miscellaneous)",ECON
2000,"General Economics, Econometrics and Finance",ECON
2003,Finance,ECON
2002,Economics and Econometrics,ECON
2100,General Energy,ENER
2105,"Renewable Energy, Sustainability and the Environment",ENER
2104,Nuclear Energy and Engineering,ENER
2103,Fuel Technology,ENER
2102,Energy Engineering and Power Technology,ENER
2101,Energy (miscellaneous),ENER
