eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85178501292,10.1590/2317-1782/20232022111EN,,38018646,Self-reported hearing difficulties and speech-in-noise test performance – what can we find behind a “normal” audiogram?,ar,Article,Lunardelo P.P.,,Universidade de São Paulo,Sao Paulo,Brazil,,,,,2023-01-01,2023,Codas,,21100309828,23171782,Journal,35,6,e20220111,,,,1,1,,,,,
2-s2.0-85178500536,10.1590/2317-1782/20232022291pt,S231717822024000100309,37970892,Immediate effects of the incentive spirometer in women with healthy voice,ar,Article,Lopes B.P.,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-01-01,2023,Codas,,21100309828,23171782,Journal,36,1,,e20220291,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178491876,10.34024/prometeica.2023.28.15552,,,SOCIAL INCLUSION CLAUSES IN THE BIDDING NOTICES OF THE MUNICIPALITY OF ARAPOTI(PR/BRAZIL) AND THE PROMOTION OF SOCIAL JUSTICE,ar,Article,de Carvalho Martins M.,,Universidade Paulista,Sao Paulo,Brazil,,,,,2023-01-01,2023,Prometeica,18529488,21100921059,,Journal,28,,,221-232,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178489461,10.4025/dialogos.v27i2.66256,,,The Lira language: journalism and avant-garde an interview with Fernando Alexandre,re,Review,do Canto F.A.S.,,Universidade Federal de Santa Catarina,Florianopolis,Brazil,,,,,2023-01-01,January 2023,Dialogos,14159945,21100202958,21772940,Journal,27,2,,208-257,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178478313,10.1590/1517-106X/202325320,,,THE HISPANIC MICROTALE OF THE XX AND XXI CENTURIES: AN ANTHOLOGY,re,Review,Da Silva Capaverde T.,,Universidade Federal de Roraima,Boa Vista,Brazil,,,,,2023-01-01,2023,Alea Estudos Neolatinos,1517106X,12100157116,18070299,Journal,25,3,,340-346,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178474307,10.17395/108549,,,The Synod for the Amazon,ar,Article,Beozzo J.O.,,CESEEP,Sao Paulo,Brazil,,,,,2023-01-01,2023,Cristianesimo Nella Storia,03933598,21100242619,26122227,Journal,44,2,,521-535,,,0,0,,,,,
2-s2.0-85178469677,10.34024/prometeica.2023.28.15263,,,ANALYSIS OF THE EFFICIENCY OF SUSTAINABLE DEVELOPMENT GOAL (SDG 15) Protecting terrestrial life in the municipalities of Paraná state,ar,Article,Brambilla M.A.,,Universidade UniCesumar,Maringa,Brazil,,,,,2023-01-01,2023,Prometeica,18529488,21100921059,,Journal,28,,,201-220,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178463941,10.1590/1983-682120231626,,,THE FIRST CRITICAL REVIEW OF MACHADO DE ASSIS: DOES IT MEAN ANYTHING?,ar,Article,De Paiva Pinto N.,,Pesquisador independente,Belo Horizonte,Brazil,,,,,2023-01-01,2023,Machado De Assis Em Linha,,21100792805,19836821,Journal,16,,e271423,,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178443551,10.1590/1517-106X/202325308,,,"ODUVALDO VIANNA’S BRAZILIAN SAINETE, AN INNOVATIVE POPULAR THEATRE",ar,Article,Cruzado A.R.,,Universidade Federal Fluminense,Niteroi,Brazil,,,,,2023-01-01,2023,Alea Estudos Neolatinos,1517106X,12100157116,18070299,Journal,25,3,,122-139,,,0,1,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85178437172,10.1590/1517-106X/202325312,,,ARTAUD: WRITING’S NAVEL,ar,Article,Gontijo Costa E.,,Centro Federal de Educacao Tecnologica de Minas Gerais,Belo Horizonte,Brazil,,,,,2023-01-01,2023,Alea Estudos Neolatinos,1517106X,12100157116,18070299,Journal,25,3,,199-215,,,0,1,all publisherfullgold,All Open Access Gold,,,
